dispute_id,description,category,description_length,word_count,dispute_number,dispute_bin
D503,What is the status of this transaction? It was debited but the purpose was not fulfilled.,FAILED_TRANSACTION,89,16,503,"(410.8, 615.7]"
D504,The payment seems to be stuck somewhere. I was debited but the merchant denies payment.,FAILED_TRANSACTION,87,15,504,"(410.8, 615.7]"
D505,"I was debited for this, but the online cart emptied and the order was not placed.",FAILED_TRANSACTION,81,16,505,"(410.8, 615.7]"
D506,The connection was lost during payment. I was charged but got no service.,FAILED_TRANSACTION,73,13,506,"(410.8, 615.7]"
D507,"This amount was held from my account, but the purchase was not completed.",FAILED_TRANSACTION,73,13,507,"(410.8, 615.7]"
D508,"The recipient's details were incorrect, the transfer should have failed but money was cut.",FAILED_TRANSACTION,90,14,508,"(410.8, 615.7]"
D509,I have a debit on my account for an order that the merchant says was cancelled.,FAILED_TRANSACTION,79,16,509,"(410.8, 615.7]"
D510,My balance was deducted but the recipient's account was not credited.,FAILED_TRANSACTION,69,11,510,"(410.8, 615.7]"
D511,This UPI transaction has been processing for a very long time. I think it has failed.,FAILED_TRANSACTION,85,16,511,"(410.8, 615.7]"
D512,"I tried buying something, the amount was debited but the item is still in my cart.",FAILED_TRANSACTION,82,16,512,"(410.8, 615.7]"
D513,The amount was deducted from my account but the transfer is not reflecting for the beneficiary.,FAILED_TRANSACTION,95,16,513,"(410.8, 615.7]"
D514,I'm inquiring about a charge for which I did not receive any service or goods.,FAILED_TRANSACTION,78,15,514,"(410.8, 615.7]"
D515,The transaction is marked as 'initiated' but the money is gone and nothing happened.,FAILED_TRANSACTION,84,14,515,"(410.8, 615.7]"
D516,The cashier was having trouble with the machine. I was charged but he said it didn't work.,FAILED_TRANSACTION,90,17,516,"(410.8, 615.7]"
D517,My account was charged but my mobile number was not recharged.,FAILED_TRANSACTION,62,11,517,"(410.8, 615.7]"
D518,The money was debited but the flight was not booked.,FAILED_TRANSACTION,52,10,518,"(410.8, 615.7]"
D519,This payment is in a frozen state. The money is neither here nor there.,FAILED_TRANSACTION,71,14,519,"(410.8, 615.7]"
D520,The debit happened but the purpose of the transaction failed.,FAILED_TRANSACTION,61,10,520,"(410.8, 615.7]"
D521,The screen went blank after I entered my OTP. The charge went through though.,FAILED_TRANSACTION,77,14,521,"(410.8, 615.7]"
D522,I was debited but the merchant's transaction ID is not generated.,FAILED_TRANSACTION,65,11,522,"(410.8, 615.7]"
D523,"My bank says the payment was successful, but the merchant says it failed.",FAILED_TRANSACTION,73,13,523,"(410.8, 615.7]"
D524,I have a charge for an online session that I was unable to join due to a technical error.,FAILED_TRANSACTION,89,19,524,"(410.8, 615.7]"
D525,The system took my money but didn't generate the e-ticket.,FAILED_TRANSACTION,58,10,525,"(410.8, 615.7]"
D526,I'm seeking a reversal for a debit where the credit to the beneficiary failed.,FAILED_TRANSACTION,78,14,526,"(410.8, 615.7]"
D527,The payment for my insurance premium was deducted but the policy was not renewed.,FAILED_TRANSACTION,81,14,527,"(410.8, 615.7]"
D528,This transaction is in a questionable state. I was charged but nothing happened.,FAILED_TRANSACTION,80,13,528,"(410.8, 615.7]"
D529,The amount was reserved on my card for a purchase that didn't materialize.,FAILED_TRANSACTION,74,13,529,"(410.8, 615.7]"
D530,There's a debit on my account that doesn't correspond to a successful order.,FAILED_TRANSACTION,76,13,530,"(410.8, 615.7]"
D531,"The website was down, but my payment attempt seems to have been charged.",FAILED_TRANSACTION,72,13,531,"(410.8, 615.7]"
D532,My card was charged but the merchant has no knowledge of this transaction.,FAILED_TRANSACTION,74,13,532,"(410.8, 615.7]"
D533,"The amount has been deducted, but my bill is still showing as unpaid.",FAILED_TRANSACTION,69,13,533,"(410.8, 615.7]"
D534,I'm reporting a transaction where the money left my account but vanished.,FAILED_TRANSACTION,73,12,534,"(410.8, 615.7]"
D535,This payment seems to have failed silently. My account was debited with no result.,FAILED_TRANSACTION,82,14,535,"(410.8, 615.7]"
D536,The money was taken but the beneficiary account number was invalid.,FAILED_TRANSACTION,67,11,536,"(410.8, 615.7]"
D537,I have been charged for an item that is now out of stock and the order was cancelled.,FAILED_TRANSACTION,85,18,537,"(410.8, 615.7]"
D538,This UPI payment is stuck. The receiver has not got the money.,FAILED_TRANSACTION,62,12,538,"(410.8, 615.7]"
D539,"The application form submission failed, but the application fee was taken.",FAILED_TRANSACTION,74,11,539,"(410.8, 615.7]"
D540,"I got a debit alert, but the merchant confirmation page never loaded.",FAILED_TRANSACTION,69,12,540,"(410.8, 615.7]"
D541,My money is in limbo. It was debited but the transaction didn't complete.,FAILED_TRANSACTION,73,13,541,"(410.8, 615.7]"
D542,The electricity bill is still outstanding despite my account being debited for it.,FAILED_TRANSACTION,82,13,542,"(410.8, 615.7]"
D543,I have a debit but no corresponding credit to the intended recipient.,FAILED_TRANSACTION,69,12,543,"(410.8, 615.7]"
D544,My transaction was not confirmed but the funds have been taken from my account.,FAILED_TRANSACTION,79,14,544,"(410.8, 615.7]"
D545,The merchant's system crashed during the transaction. My card was charged.,FAILED_TRANSACTION,74,11,545,"(410.8, 615.7]"
D546,This debit needs to be refunded as the service was not rendered due to a system failure.,FAILED_TRANSACTION,88,17,546,"(410.8, 615.7]"
D547,The movie ticket booking failed but the amount was deducted.,FAILED_TRANSACTION,60,10,547,"(410.8, 615.7]"
D548,I was debited but the merchant asked me to pay again as it had not gone through.,FAILED_TRANSACTION,80,17,548,"(410.8, 615.7]"
D549,There's an issue with this payment. It was debited but the outcome is unknown.,FAILED_TRANSACTION,78,14,549,"(410.8, 615.7]"
D550,"My funds were debited, but the transfer did not go through as intended.",FAILED_TRANSACTION,71,13,550,"(410.8, 615.7]"
D551,The transaction did not result in a valid order. Please refund the amount.,FAILED_TRANSACTION,74,13,551,"(410.8, 615.7]"
D552,"The merchant cancelled the transaction due to a timeout, but my account shows a debit.",FAILED_TRANSACTION,86,15,552,"(410.8, 615.7]"
D553,The money was cut but the service I was paying for is still inactive.,FAILED_TRANSACTION,69,14,553,"(410.8, 615.7]"
D554,"My wallet was debited, but the funds were not added to the merchant's wallet.",FAILED_TRANSACTION,77,14,554,"(410.8, 615.7]"
D555,This charge corresponds to an unsuccessful attempt to book a hotel.,FAILED_TRANSACTION,67,11,555,"(410.8, 615.7]"
D556,I'm raising a dispute for a debit without a successful transaction.,FAILED_TRANSACTION,67,11,556,"(410.8, 615.7]"
D557,"The payment seems to be lost. My bank debited it, but the recipient never got it.",FAILED_TRANSACTION,81,16,557,"(410.8, 615.7]"
D558,"I was charged, but the service subscription failed to activate.",FAILED_TRANSACTION,63,10,558,"(410.8, 615.7]"
D559,My account was debited but the investment transaction was not processed.,FAILED_TRANSACTION,72,11,559,"(410.8, 615.7]"
D560,I am missing money from my account related to a transaction that didn't work.,FAILED_TRANSACTION,77,14,560,"(410.8, 615.7]"
D561,This NEFT is showing as processed but the beneficiary claims they haven't received anything.,FAILED_TRANSACTION,92,14,561,"(410.8, 615.7]"
D562,A transaction hold was placed on my account for a purchase that was ultimately cancelled.,FAILED_TRANSACTION,89,15,562,"(410.8, 615.7]"
D563,"The money was debited but the beneficiary details are wrong, so it should have been returned by now.",FAILED_TRANSACTION,100,18,563,"(410.8, 615.7]"
D564,"I have a debit for this amount, but the merchant provided a refund in cash because their machine wasn't working.",FAILED_TRANSACTION,112,20,564,"(410.8, 615.7]"
D565,This amount was for a pre-authorization that should have been voided.,FAILED_TRANSACTION,69,11,565,"(410.8, 615.7]"
D566,My transaction from yesterday is still not reflecting in the beneficiary account.,FAILED_TRANSACTION,81,12,566,"(410.8, 615.7]"
D567,"The merchant charged me, then their system failed and they issued a credit note, but the charge is still there.",FAILED_TRANSACTION,111,20,567,"(410.8, 615.7]"
D568,This IMPS transaction is stuck and has not been credited to the recipient's account.,FAILED_TRANSACTION,84,14,568,"(410.8, 615.7]"
D569,"The funds have been deducted but the purpose, which was time-sensitive, has failed.",FAILED_TRANSACTION,83,13,569,"(410.8, 615.7]"
D570,"I was told this was a temporary hold, but it has been posted as a final charge.",FAILED_TRANSACTION,79,17,570,"(410.8, 615.7]"
D571,"The debit occurred, but the associated service was cancelled by the provider.",FAILED_TRANSACTION,77,12,571,"(410.8, 615.7]"
D572,"This transaction was supposed to be declined due to security settings, but it went through and failed later.",FAILED_TRANSACTION,108,18,572,"(410.8, 615.7]"
D573,The money was sent to a UPI ID that is now inactive. It should have bounced back.,FAILED_TRANSACTION,81,17,573,"(410.8, 615.7]"
D574,This charge is from a vending machine that took my money but did not dispense the product.,FAILED_TRANSACTION,90,17,574,"(410.8, 615.7]"
D575,I have a debit that corresponds to a payment made via a link that has now expired.,FAILED_TRANSACTION,82,17,575,"(410.8, 615.7]"
D576,"The transaction was successful from my end, but the merchant's bank rejected it.",FAILED_TRANSACTION,80,13,576,"(410.8, 615.7]"
D577,I have been debited for a financial product that was not issued in the end.,FAILED_TRANSACTION,75,15,577,"(410.8, 615.7]"
D578,The amount was deducted but the trade on the platform was not executed.,FAILED_TRANSACTION,71,13,578,"(410.8, 615.7]"
D579,This debit is for a payment that exceeded the transaction limit and should have failed.,FAILED_TRANSACTION,87,15,579,"(410.8, 615.7]"
D580,The money has been debited but the beneficiary account has been closed.,FAILED_TRANSACTION,71,12,580,"(410.8, 615.7]"
D581,This transfer is showing as successful but it was sent to an incorrect account type.,FAILED_TRANSACTION,84,15,581,"(410.8, 615.7]"
D582,I paid for an item that the merchant later told me they could not deliver.,FAILED_TRANSACTION,74,15,582,"(410.8, 615.7]"
D583,The charge is for a deposit on a rental that was cancelled due to unavailability.,FAILED_TRANSACTION,81,15,583,"(410.8, 615.7]"
D584,"A hold was placed on my card for gas, but the final charge was never processed correctly.",FAILED_TRANSACTION,89,17,584,"(410.8, 615.7]"
D585,"I was debited, but the payment was rejected by the merchant's gateway.",FAILED_TRANSACTION,70,12,585,"(410.8, 615.7]"
D586,This charge relates to an automated payment for an account that I have already closed.,FAILED_TRANSACTION,86,15,586,"(410.8, 615.7]"
D587,"The merchant tried to process the payment multiple times, I was charged but they said all failed.",FAILED_TRANSACTION,97,17,587,"(410.8, 615.7]"
D588,This debit is for a payment to a mobile number that is no longer in service.,FAILED_TRANSACTION,76,16,588,"(410.8, 615.7]"
D589,"The transaction seems to have been reversed and then charged again, but the initial charge remains.",FAILED_TRANSACTION,99,16,589,"(410.8, 615.7]"
D590,I have been charged for a service that was not provided due to a technical outage on the merchant's side.,FAILED_TRANSACTION,105,20,590,"(410.8, 615.7]"
D591,The payment confirmation for this debit was never received.,FAILED_TRANSACTION,59,9,591,"(410.8, 615.7]"
D592,This transfer has been 'under process' for an entire week. It has clearly failed.,FAILED_TRANSACTION,81,14,592,"(410.8, 615.7]"
D593,The amount has been taken but the associated loan application was rejected.,FAILED_TRANSACTION,75,12,593,"(410.8, 615.7]"
D594,I have a charge from a parking meter that did not add any time to my session.,FAILED_TRANSACTION,77,17,594,"(410.8, 615.7]"
D595,The money was debited but the international transfer did not complete due to compliance issues.,FAILED_TRANSACTION,95,15,595,"(410.8, 615.7]"
D596,This transaction should have been blocked by my daily limit settings.,FAILED_TRANSACTION,69,11,596,"(410.8, 615.7]"
D597,A payment was made to a company that has since ceased operations.,FAILED_TRANSACTION,65,12,597,"(410.8, 615.7]"
D598,"The beneficiary is a student who has now graduated, their fee account is closed.",FAILED_TRANSACTION,80,14,598,"(410.8, 615.7]"
D599,I was debited for a payment towards a closed credit card account.,FAILED_TRANSACTION,65,12,599,"(410.8, 615.7]"
D600,This amount has been in a 'settlement pending' state for too long.,FAILED_TRANSACTION,66,12,600,"(410.8, 615.7]"
D601,The debit is for a subscription to a service that is no longer available in my country.,FAILED_TRANSACTION,87,17,601,"(410.8, 615.7]"
D602,"I received a 'delivery failed' notice for this digital gift card, but I was charged.",FAILED_TRANSACTION,84,15,602,"(410.8, 615.7]"
D603,This transaction has been floating for days without being credited or reversed.,FAILED_TRANSACTION,79,12,603,"(410.8, 615.7]"
D604,My account was debited for a payment made to an incorrect biller ID.,FAILED_TRANSACTION,68,13,604,"(410.8, 615.7]"
D605,The merchant confirmed that my payment was voided in their system.,FAILED_TRANSACTION,66,11,605,"(410.8, 615.7]"
D606,This charge should have been refunded automatically after the transaction failed.,FAILED_TRANSACTION,81,11,606,"(410.8, 615.7]"
D607,I have been debited for a transaction that was flagged for review and then disappeared.,FAILED_TRANSACTION,87,15,607,"(410.8, 615.7]"
D608,"The recipient's bank account details were invalid, so the payment should have reversed instantly.",FAILED_TRANSACTION,97,14,608,"(410.8, 615.7]"
D609,This payment was made to an account that the beneficiary says has been frozen.,FAILED_TRANSACTION,78,14,609,"(410.8, 615.7]"
D610,"The debit is present, but there is no corresponding UTR number for this NEFT.",FAILED_TRANSACTION,77,14,610,"(410.8, 615.7]"
D611,"The funds for this transaction were returned to the source, but my account has not been credited.",FAILED_TRANSACTION,97,17,611,"(410.8, 615.7]"
D612,This payment was for a crowd-funding project that did not meet its goal.,FAILED_TRANSACTION,72,13,612,"(410.8, 615.7]"
D613,"I was charged for an item, but my order was cancelled because it failed a security check.",FAILED_TRANSACTION,89,17,613,"(410.8, 615.7]"
D614,The money was sent to a VPA that is not linked to any bank account.,FAILED_TRANSACTION,67,15,614,"(410.8, 615.7]"
D615,A fee was debited for a service that the provider was ultimately unable to offer.,FAILED_TRANSACTION,81,15,615,"(410.8, 615.7]"
D616,This is an authorization hold for a rental that I cancelled well in advance.,FAILED_TRANSACTION,76,14,616,"(615.7, 820.6]"
D617,The debit is for an international purchase that was blocked by customs.,FAILED_TRANSACTION,71,12,617,"(615.7, 820.6]"
D618,This debit is tied to a transaction that was supposed to be on hold but seems to have been processed.,FAILED_TRANSACTION,101,20,618,"(615.7, 820.6]"
D619,"My account was charged, but the merchant cancelled the transaction due to a stock error.",FAILED_TRANSACTION,88,15,619,"(615.7, 820.6]"
D620,I have a debit here but the merchant claims they never received an authorization code.,FAILED_TRANSACTION,86,15,620,"(615.7, 820.6]"
D621,I returned the item two weeks ago but I am still waiting for the refund.,REFUND_PENDING,72,15,621,"(615.7, 820.6]"
D622,"My order was cancelled by the merchant, but the refund has not been processed yet.",REFUND_PENDING,82,15,622,"(615.7, 820.6]"
D623,"I was promised a refund for the faulty product, but I have not received it.",REFUND_PENDING,75,15,623,"(615.7, 820.6]"
D624,Still waiting for the money to be credited back after a cancelled transaction.,REFUND_PENDING,78,13,624,"(615.7, 820.6]"
D625,How long does the refund take? It's been 10 business days since I returned the product.,REFUND_PENDING,87,16,625,"(615.7, 820.6]"
D626,"The merchant confirmed the refund on their end, but it's not showing in my account.",REFUND_PENDING,83,15,626,"(615.7, 820.6]"
D627,This charge was for a flight that was cancelled. I am waiting for the airline to refund me.,REFUND_PENDING,91,18,627,"(615.7, 820.6]"
D628,I'm following up on a refund for a returned clothing item.,REFUND_PENDING,58,11,628,"(615.7, 820.6]"
D629,The refund for my cancelled hotel booking has not been received.,REFUND_PENDING,64,11,629,"(615.7, 820.6]"
D630,"The status of my return is 'complete', but where is my refund?",REFUND_PENDING,62,12,630,"(615.7, 820.6]"
D631,Please check on the status of my refund for order #12345.,REFUND_PENDING,57,11,631,"(615.7, 820.6]"
D632,"I was told the refund would be processed in 5-7 days, but it has been much longer.",REFUND_PENDING,82,17,632,"(615.7, 820.6]"
D633,This is a dispute for a pending refund from an online store.,REFUND_PENDING,60,12,633,"(615.7, 820.6]"
D634,The service was cancelled and I am yet to receive the promised refund.,REFUND_PENDING,70,13,634,"(615.7, 820.6]"
D635,"My account was debited, but the order was cancelled. Still no refund.",REFUND_PENDING,69,12,635,"(615.7, 820.6]"
D636,I am still awaiting a credit for the goods I returned last month.,REFUND_PENDING,65,13,636,"(615.7, 820.6]"
D637,"The company agreed to a partial refund, which I have not seen yet.",REFUND_PENDING,66,13,637,"(615.7, 820.6]"
D638,This transaction was supposed to be refunded. It's still pending.,REFUND_PENDING,65,10,638,"(615.7, 820.6]"
D639,Following up on a refund that was initiated on August 5th.,REFUND_PENDING,58,11,639,"(615.7, 820.6]"
D640,My event tickets were cancelled and I am waiting for the refund to be processed.,REFUND_PENDING,80,15,640,"(615.7, 820.6]"
D641,"I have the refund confirmation email, but the money is not in my account.",REFUND_PENDING,73,14,641,"(615.7, 820.6]"
D642,I am yet to receive the refund for the duplicate charge I reported earlier.,REFUND_PENDING,75,14,642,"(615.7, 820.6]"
D643,"The subscription was cancelled, but the pro-rata refund has not been credited.",REFUND_PENDING,78,12,643,"(615.7, 820.6]"
D644,It has been over a month and I am still waiting for my security deposit refund.,REFUND_PENDING,79,16,644,"(615.7, 820.6]"
D645,The merchant is not responding to my queries about my pending refund.,REFUND_PENDING,69,12,645,"(615.7, 820.6]"
D646,I was charged for an out-of-stock item. I'm waiting for the refund.,REFUND_PENDING,67,12,646,"(615.7, 820.6]"
D647,Requesting an update on a refund for a returned electronic device.,REFUND_PENDING,66,11,647,"(615.7, 820.6]"
D648,I cancelled my membership and I am expecting a refund for the unused period.,REFUND_PENDING,76,14,648,"(615.7, 820.6]"
D649,The refund for the damaged item I received is still outstanding.,REFUND_PENDING,64,11,649,"(615.7, 820.6]"
D650,The credit for my returned merchandise has not been posted to my account.,REFUND_PENDING,73,13,650,"(615.7, 820.6]"
D651,This charge was accidentally made twice and I am waiting for the refund of the second one.,REFUND_PENDING,90,17,651,"(615.7, 820.6]"
D652,My refund is taking much longer than the merchant's stated policy.,REFUND_PENDING,66,11,652,"(615.7, 820.6]"
D653,I have not been refunded for the part of my order that was not delivered.,REFUND_PENDING,73,15,653,"(615.7, 820.6]"
D654,Still no sign of the refund for my cancelled food delivery order.,REFUND_PENDING,65,12,654,"(615.7, 820.6]"
D655,The item was returned successfully. Awaiting refund.,REFUND_PENDING,52,7,655,"(615.7, 820.6]"
D656,I'm raising a dispute as the merchant has failed to refund me for a returned item.,REFUND_PENDING,82,16,656,"(615.7, 820.6]"
D657,I'm waiting for a credit to appear on my statement for a cancelled service.,REFUND_PENDING,75,14,657,"(615.7, 820.6]"
D658,The refund process for my returned shoes has been stuck for weeks.,REFUND_PENDING,66,12,658,"(615.7, 820.6]"
D659,"I was told I would receive a full refund, which has not happened yet.",REFUND_PENDING,69,14,659,"(615.7, 820.6]"
D660,The merchant is delaying my refund without any valid reason.,REFUND_PENDING,60,10,660,"(615.7, 820.6]"
D661,The refund for the wrong item sent is still pending.,REFUND_PENDING,52,10,661,"(615.7, 820.6]"
D662,"I was issued a credit note, but I requested a refund to my card. Still waiting.",REFUND_PENDING,79,16,662,"(615.7, 820.6]"
D663,This charge should have been reversed after I cancelled the booking.,REFUND_PENDING,68,11,663,"(615.7, 820.6]"
D664,Awaiting refund for a double charge incident from last week.,REFUND_PENDING,60,10,664,"(615.7, 820.6]"
D665,The rental agency owes me a refund for the deposit.,REFUND_PENDING,51,10,665,"(615.7, 820.6]"
D666,"My return was accepted, but the refund is nowhere to be seen.",REFUND_PENDING,61,12,666,"(615.7, 820.6]"
D667,"The seller marked the item as refunded, but the amount has not been credited.",REFUND_PENDING,77,14,667,"(615.7, 820.6]"
D668,"It has been 15 days, and my refund is still being processed.",REFUND_PENDING,60,12,668,"(615.7, 820.6]"
D669,I am missing a refund from this merchant for a returned package.,REFUND_PENDING,64,12,669,"(615.7, 820.6]"
D670,"The tour was cancelled due to weather, and I am waiting for the company to refund me.",REFUND_PENDING,85,17,670,"(615.7, 820.6]"
D671,How much longer do I have to wait for my money to be returned?,REFUND_PENDING,62,14,671,"(615.7, 820.6]"
D672,This is an inquiry about an overdue refund.,REFUND_PENDING,43,8,672,"(615.7, 820.6]"
D673,My refund for the unsatisfactory service has not been processed.,REFUND_PENDING,64,10,673,"(615.7, 820.6]"
D674,I returned the item using the provided shipping label. When do I get my refund?,REFUND_PENDING,79,15,674,"(615.7, 820.6]"
D675,The system automatically cancelled my order but the refund is not automatic.,REFUND_PENDING,76,12,675,"(615.7, 820.6]"
D676,The overcharged amount on my bill was supposed to be refunded.,REFUND_PENDING,62,11,676,"(615.7, 820.6]"
D677,I have been patiently waiting for a refund that was promised to me.,REFUND_PENDING,67,13,677,"(615.7, 820.6]"
D678,The merchant's customer service confirmed my refund but it has not arrived.,REFUND_PENDING,75,12,678,"(615.7, 820.6]"
D679,I am still waiting for the balance of my refund to be paid.,REFUND_PENDING,59,13,679,"(615.7, 820.6]"
D680,My money has been held for a cancelled order for too long.,REFUND_PENDING,58,12,680,"(615.7, 820.6]"
D681,I cancelled the service well within the refund period. Still waiting for the money.,REFUND_PENDING,83,14,681,"(615.7, 820.6]"
D682,The refund for my undelivered order has not been credited to my account.,REFUND_PENDING,72,13,682,"(615.7, 820.6]"
D683,This charge needs to be refunded as the item was sent back to the seller.,REFUND_PENDING,73,15,683,"(615.7, 820.6]"
D684,I want to know why my refund is taking so long.,REFUND_PENDING,47,11,684,"(615.7, 820.6]"
D685,The merchant keeps telling me the refund is 'on its way'.,REFUND_PENDING,57,11,685,"(615.7, 820.6]"
D686,I cancelled my pre-order and am now waiting for the refund.,REFUND_PENDING,59,11,686,"(615.7, 820.6]"
D687,Still awaiting reimbursement for a charge that should have been voided.,REFUND_PENDING,71,11,687,"(615.7, 820.6]"
D688,The product was returned and received by the warehouse. Where's my credit?,REFUND_PENDING,74,12,688,"(615.7, 820.6]"
D689,This is a formal dispute for a non-receipt of a promised refund.,REFUND_PENDING,64,12,689,"(615.7, 820.6]"
D690,My refund is stuck in processing according to the merchant's portal.,REFUND_PENDING,68,11,690,"(615.7, 820.6]"
D691,I sent the item back. What is the status of my credit?,REFUND_PENDING,54,12,691,"(615.7, 820.6]"
D692,The order was cancelled. When will the amount be reversed?,REFUND_PENDING,58,10,692,"(615.7, 820.6]"
D693,I was not satisfied with the purchase and returned it. I haven't seen the money back yet.,REFUND_PENDING,89,17,693,"(615.7, 820.6]"
D694,The merchant acknowledged my return request. How long until the money is back on my card?,REFUND_PENDING,89,16,694,"(615.7, 820.6]"
D695,The flight got cancelled. The airline issued a voucher but I want the money back.,REFUND_PENDING,81,15,695,"(615.7, 820.6]"
D696,I was overcharged for my meal. The manager said he would reverse the charge.,REFUND_PENDING,76,14,696,"(615.7, 820.6]"
D697,The package was returned to sender. I expect the charge to be removed.,REFUND_PENDING,70,13,697,"(615.7, 820.6]"
D698,My appointment was cancelled by the clinic. When can I expect the prepayment to be returned?,REFUND_PENDING,92,16,698,"(615.7, 820.6]"
D699,I'm writing about a charge for an item that I have already sent back.,REFUND_PENDING,69,14,699,"(615.7, 820.6]"
D700,"The quality was very poor, so I returned it. I'm waiting for the amount to be credited.",REFUND_PENDING,87,17,700,"(615.7, 820.6]"
D701,My return tracking shows the item was delivered back to them last week.,REFUND_PENDING,71,13,701,"(615.7, 820.6]"
D702,I exercised my cooling-off rights and cancelled the contract. The initial payment has not been returned.,REFUND_PENDING,104,16,702,"(615.7, 820.6]"
D703,The company is not honouring its money-back guarantee.,REFUND_PENDING,54,8,703,"(615.7, 820.6]"
D704,"I have a credit note from the merchant, but I need the amount back in my bank account.",REFUND_PENDING,86,18,704,"(615.7, 820.6]"
D705,The duplicate payment I made by mistake has not been returned yet.,REFUND_PENDING,66,12,705,"(615.7, 820.6]"
D706,My trip was cancelled due to the travel restrictions. I have applied for a refund.,REFUND_PENDING,82,15,706,"(615.7, 820.6]"
D707,"The item didn't fit, so I mailed it back as per the instructions.",REFUND_PENDING,65,13,707,"(615.7, 820.6]"
D708,The concert was postponed indefinitely. The organizers said they would issue refunds.,REFUND_PENDING,85,12,708,"(615.7, 820.6]"
D709,I cancelled my subscription. What about the charge for the current month?,REFUND_PENDING,73,12,709,"(615.7, 820.6]"
D710,"The product was not as described, so it was returned. I'm waiting for my money.",REFUND_PENDING,79,15,710,"(615.7, 820.6]"
D711,The hotel charged me a deposit that was supposed to be returned at check-out.,REFUND_PENDING,77,14,711,"(615.7, 820.6]"
D712,I refused the delivery because the box was damaged. The charge should be reversed.,REFUND_PENDING,82,14,712,"(615.7, 820.6]"
D713,The workshop was cancelled. The fee has not been returned.,REFUND_PENDING,58,10,713,"(615.7, 820.6]"
D714,"The seller agreed to a return and refund, but has gone quiet since receiving the item.",REFUND_PENDING,86,16,714,"(615.7, 820.6]"
D715,I have an RMA number for my return. The amount has not been credited.,REFUND_PENDING,69,14,715,"(615.7, 820.6]"
D716,"The initial transaction failed, but I was charged. The merchant then charged me again on a successful transaction. The first charge needs to be returned.",REFUND_PENDING,153,25,716,"(615.7, 820.6]"
D717,I'm following up on a credit that was supposed to be applied to my account.,REFUND_PENDING,75,15,717,"(615.7, 820.6]"
D718,The incorrect item was delivered and I sent it back.,REFUND_PENDING,52,10,718,"(615.7, 820.6]"
D719,"My trial period ended and I cancelled, but I was charged for the full subscription.",REFUND_PENDING,83,15,719,"(615.7, 820.6]"
D720,The car rental company charged me for damages that I did not cause. They promised a reversal after investigation.,REFUND_PENDING,113,19,720,"(615.7, 820.6]"
D721,I returned the equipment as per my rental agreement. My deposit has not been returned.,REFUND_PENDING,86,15,721,"(615.7, 820.6]"
D722,The event did not take place. The charge for the ticket is still on my card.,REFUND_PENDING,76,16,722,"(615.7, 820.6]"
D723,I'm looking for a credit to offset this charge for a returned product.,REFUND_PENDING,70,13,723,"(615.7, 820.6]"
D724,The vet cancelled the procedure but my prepayment has not been returned.,REFUND_PENDING,72,12,724,"(615.7, 820.6]"
D725,My order was incomplete. The customer service agent said I would be credited for the missing items.,REFUND_PENDING,99,17,725,"(615.7, 820.6]"
D726,I am still waiting for the balance of my account to be returned after closing it.,REFUND_PENDING,81,16,726,"(615.7, 820.6]"
D727,The merchant made a billing error and promised a credit on my next statement. It is not there.,REFUND_PENDING,94,18,727,"(615.7, 820.6]"
D728,I've sent back the faulty hardware. The money has not been returned.,REFUND_PENDING,68,12,728,"(615.7, 820.6]"
D729,The store manager promised to void this transaction. It is still showing as posted.,REFUND_PENDING,83,14,729,"(615.7, 820.6]"
D730,My return was processed in-store and I was told the refund would be automatic.,REFUND_PENDING,78,14,730,"(615.7, 820.6]"
D731,This charge is for a service I cancelled the next day.,REFUND_PENDING,54,11,731,"(615.7, 820.6]"
D732,"The delivery was never made, so I cancelled the order.",REFUND_PENDING,54,10,732,"(615.7, 820.6]"
D733,The company went out of business before providing the service I paid for.,REFUND_PENDING,73,13,733,"(615.7, 820.6]"
D734,I've been corresponding with the merchant about a return for weeks.,REFUND_PENDING,67,11,734,"(615.7, 820.6]"
D735,This charge was for a security deposit on a short-term lease. I have since moved out.,REFUND_PENDING,85,16,735,"(615.7, 820.6]"
D736,The second leg of my flight was cancelled. The airline owes me a partial refund.,REFUND_PENDING,80,15,736,"(615.7, 820.6]"
D737,"I opted for store credit initially, but now I want a refund to my card as promised.",REFUND_PENDING,83,17,737,"(615.7, 820.6]"
D738,The item was recalled by the manufacturer. I returned it as instructed.,REFUND_PENDING,71,12,738,"(615.7, 820.6]"
D739,I have an email chain with the merchant agreeing to credit my account.,REFUND_PENDING,70,13,739,"(615.7, 820.6]"
D740,This charge should have been reversed when I returned the rental car with a full tank.,REFUND_PENDING,86,16,740,"(615.7, 820.6]"
D741,"The product arrived too late, so I rejected the shipment.",REFUND_PENDING,57,10,741,"(615.7, 820.6]"
D742,The total charged was incorrect. I'm awaiting a credit for the difference.,REFUND_PENDING,74,12,742,"(615.7, 820.6]"
D743,The software did not work with my system. I have uninstalled it and requested my money back.,REFUND_PENDING,92,17,743,"(615.7, 820.6]"
D744,The tour operator cancelled my booking due to low numbers.,REFUND_PENDING,58,10,744,"(615.7, 820.6]"
D745,I returned this purchase to a physical store location. The refund has not appeared.,REFUND_PENDING,83,14,745,"(615.7, 820.6]"
D746,I was advised that a credit would be processed for the service outage.,REFUND_PENDING,70,13,746,"(615.7, 820.6]"
D747,"This transaction was disputed and a provisional credit was issued, then reversed. The merchant still owes me the refund.",REFUND_PENDING,120,19,747,"(615.7, 820.6]"
